,date_of_bite,age,breed,gender
0,January 01 2018,,UNKNOWN,U
1,January 04 2018,,UNKNOWN,U
2,January 06 2018,,Pit Bull,U
3,January 08 2018,4,Mixed/Other,M
4,January 09 2018,,Pit Bull,U
5,January 03 2018,4Y,BASENJI,M
6,January 01 2018,,UNKNOWN,U
7,January 03 2018,,Pit Bull,U
8,January 04 2018,5Y,American Pit Bull Mix / Pit Bull Mix,M
9,January 10 2018,3Y,MIXED,F
10,January 06 2018,,,U
11,January 07 2018,7,Yorkshire Terrier Crossbreed,M
12,January 06 2018,6,Great Dane,F
13,January 01 2018,,Pit Bull,U
14,January 09 2018,5,Labradoodle,F
15,January 01 2018,,West High White Terrier,M
16,January 14 2018,,American Pit Bull Terrier/Pit Bull,U
17,January 07 2018,,,U
18,January 13 2018,7,MIXED,M
19,January 10 2018,,American Pit Bull Terrier/Pit Bull,U
20,January 15 2018,8,"Poodle, Miniature",M
21,January 13 2018,11,American Pit Bull Terrier/Pit Bull,F
22,January 13 2018,,UNKNOWN,U
23,January 09 2018,,UNKNOWN,U
24,January 01 2018,,UNKNOWN,U
25,January 18 2018,3,Pekingese,M
26,January 08 2018,13Y,POODLE X,M
27,January 18 2018,11,Labrador Retriever Crossbreed,M
28,January 18 2018,2,American Pit Bull Terrier/Pit Bull,F
29,January 17 2018,2,Dachshund Smooth Coat,M
30,January 20 2018,,Pit Bull,U
31,January 21 2018,2,,M
32,January 23 2018,,MIXED,F
33,January 23 2018,,MIXED,F
34,January 23 2018,4,Chihuahua,M
35,January 15 2018,,Pit Bull,U
36,January 23 2018,,Yorkshire Terrier,U
37,January 24 2018,,Shih Tzu,U
38,January 28 2018,8,Pug,M
39,January 27 2018,,Maltese,U
40,January 28 2018,,Mixed/Other,U
41,January 29 2018,7,Mixed/Other,F
42,January 27 2018,,UNKNOWN,U
43,January 28 2018,8,MINATURE PINSCHER X,M
44,February 01 2018,4,TERRIER CROSS,M
45,January 31 2018,,Shih Tzu,U
46,February 01 2018,10M,"Dachshund, Wirehaired, Miniature",M
47,January 29 2018,3,AMERICAN STAFF X,M
48,February 02 2018,,,U
49,February 05 2018,,Bichon Frise,U
